LocationID	Location	ParentLocationID	Latitude	Longitude
BFN_Forebay_Layer_25	BFN_Forebay_Layer_25	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_26	BFN_Forebay_Layer_26	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_27	BFN_Forebay_Layer_27	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_28	BFN_Forebay_Layer_28	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_29	BFN_Forebay_Layer_29	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_3	BFN_Forebay_Layer_3	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_30	BFN_Forebay_Layer_30	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_4	BFN_Forebay_Layer_4	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_5	BFN_Forebay_Layer_5	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_6	BFN_Forebay_Layer_6	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_7	BFN_Forebay_Layer_7	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_8	BFN_Forebay_Layer_8	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_9	BFN_Forebay_Layer_9	BFN_Forebay	0.000000	0.000000
BFN_XSection	BFN_XSection	B	34.701040	-87.108283
BFN01_3ft	BFN01_3ft	BFN 01 (DS, Middle)	34.706700	-87.128276
BFN01_535ft_elev	BFN01_535ft_elev	BFN 01 (DS, Middle)	34.706700	-87.128276
BFN01_545ft_elev	BFN01_545ft_elev	BFN 01 (DS, Middle)	34.706700	-87.128276
BFN01_5ft	BFN01_5ft	BFN 01 (DS, Middle)	34.706700	-87.128276
BFN01_7ft	BFN01_7ft	BFN 01 (DS, Middle)	34.706700	-87.128276
BFN01_Layer_1	BFN01_Layer_1	BFN01_Layers	0.000000	0.000000
BFN01_Layer_10	BFN01_Layer_10	BFN01_Layers	0.000000	0.000000
BFN01_Layer_11	BFN01_Layer_11	BFN01_Layers	0.000000	0.000000
BFN01_Layer_12	BFN01_Layer_12	BFN01_Layers	0.000000	0.000000
BFN01_Layer_13	BFN01_Layer_13	BFN01_Layers	0.000000	0.000000
BFN01_Layer_14	BFN01_Layer_14	BFN01_Layers	0.000000	0.000000
BFN01_Layer_15	BFN01_Layer_15	BFN01_Layers	0.000000	0.000000
BFN01_Layer_16	BFN01_Layer_16	BFN01_Layers	0.000000	0.000000
BFN01_Layer_17	BFN01_Layer_17	BFN01_Layers	0.000000	0.000000
BFN01_Layer_18	BFN01_Layer_18	BFN01_Layers	0.000000	0.000000
BFN01_Layer_19	BFN01_Layer_19	BFN01_Layers	0.000000	0.000000
BFN01_Layer_2	BFN01_Layer_2	BFN01_Layers	0.000000	0.000000
BFN01_Layer_20	BFN01_Layer_20	BFN01_Layers	0.000000	0.000000
BFN01_Layer_21	BFN01_Layer_21	BFN01_Layers	0.000000	0.000000
BFN01_Layer_22	BFN01_Layer_22	BFN01_Layers	0.000000	0.000000
BFN01_Layer_23	BFN01_Layer_23	BFN01_Layers	0.000000	0.000000
BFN01_Layer_24	BFN01_Layer_24	BFN01_Layers	0.000000	0.000000
BFN01_Layer_25	BFN01_Layer_25	BFN01_Layers	0.000000	0.000000
BFN01_Layer_26	BFN01_Layer_26	BFN01_Layers	0.000000	0.000000
BFN01_Layer_27	BFN01_Layer_27	BFN01_Layers	0.000000	0.000000
BFN01_Layer_28	BFN01_Layer_28	BFN01_Layers	0.000000	0.000000
BFN01_Layer_29	BFN01_Layer_29	BFN01_Layers	0.000000	0.000000
BFN01_Layer_3	BFN01_Layer_3	BFN01_Layers	0.000000	0.000000
BFN01_Layer_30	BFN01_Layer_30	BFN01_Layers	0.000000	0.000000
BFN01_Layer_4	BFN01_Layer_4	BFN01_Layers	0.000000	0.000000
BFN01_Layer_5	BFN01_Layer_5	BFN01_Layers	0.000000	0.000000
BFN01_Layer_6	BFN01_Layer_6	BFN01_Layers	0.000000	0.000000
BFN01_Layer_7	BFN01_Layer_7	BFN01_Layers	0.000000	0.000000
BFN01_Layer_8	BFN01_Layer_8	BFN01_Layers	0.000000	0.000000
BFN01_Layer_9	BFN01_Layer_9	BFN01_Layers	0.000000	0.000000
BFN01_Layers	BFN01 D3D profiles	BFN01_Layers	34.706700	-87.128276
BFN04_1/2ft	BFN04_1/2ft	BFN 04 (US)	34.663980	-87.076962
BFN04_11ft	BFN04_11ft	BFN 04 (US)	34.663980	-87.076962
BFN04_13ft	BFN04_13ft	BFN 04 (US)	34.663980	-87.076962
BFN04_15ft	BFN04_15ft	BFN 04 (US)	34.663980	-87.076962
BFN04_17ft	BFN04_17ft	BFN 04 (US)	34.663980	-87.076962
BFN04_20ft	BFN04_20ft	BFN 04 (US)	34.663980	-87.076962
BFN04_3ft	BFN04_3ft	BFN 04 (US)	34.663980	-87.076962
BFN04_5ft	BFN04_5ft	BFN 04 (US)	34.663980	-87.076962
BFN04_7ft	BFN04_7ft	BFN 04 (US)	34.663980	-87.076962
BFN04_9ft	BFN04_9ft	BFN 04 (US)	34.663980	-87.076962
BFN04_Layer_1	BFN04_Layer_1	BFN04_Layers	0.000000	0.000000
BFN04_Layer_10	BFN04_Layer_10	BFN04_Layers	0.000000	0.000000
BFN04_Layer_11	BFN04_Layer_11	BFN04_Layers	0.000000	0.000000
BFN04_Layer_12	BFN04_Layer_12	BFN04_Layers	0.000000	0.000000
BFN04_Layer_13	BFN04_Layer_13	BFN04_Layers	0.000000	0.000000
BFN04_Layer_14	BFN04_Layer_14	BFN04_Layers	0.000000	0.000000
BFN04_Layer_15	BFN04_Layer_15	BFN04_Layers	0.000000	0.000000
BFN04_Layer_16	BFN04_Layer_16	BFN04_Layers	0.000000	0.000000
BFN04_Layer_17	BFN04_Layer_17	BFN04_Layers	0.000000	0.000000
BFN04_Layer_18	BFN04_Layer_18	BFN04_Layers	0.000000	0.000000
